user_id,agr,con,ext,neu,ope
14601,0.02977812463098212,0.5770210830410364,0.0792048751393446,0.030380928169289945,0.4090371601297309
13400,0.06473072046912354,0.04483790082245087,0.18377433413094527,0.9351206281843232,0.4086914630510716
5057,0.7262399312805908,0.9025838596832668,0.9580601810031512,0.08203464682672756,0.9086926236530138
9112,0.10462666749863553,0.38925714614358736,0.20060607337474967,0.5345480692396299,0.8968331626101039
14388,0.5675083622947603,0.0755796863668215,0.1323699315780828,0.6554709796133956,0.31835593835739684
16748,0.06651231965233928,0.09776405761816707,0.5417292738983022,0.3359771852868241,0.9198739557334212
2719,0.7465938967040111,0.4562754149634658,0.531117173497622,0.6432341638675562,0.2124823528491166
16675,0.6026748645867442,0.5966949244863102,0.7911846397168074,0.022657295183636458,0.8267373497302921
5746,0.02873788796413157,0.12986000165322448,0.1265983775233906,0.4859742311238434,0.954240106006194
16804,0.2547120945876443,0.6094555542044036,0.2893139502992882,0.2458544989906589,0.33925548041686937
7034,0.012331732910458082,0.4200815120774589,0.027362930034991455,0.4488342313378528,0.5999573837236313
1159,0.35546486480563066,0.4560106424328338,0.7031935684058737,0.14352812468811466,0.8878949516544876
14314,0.3036955023327096,0.11500981221042113,0.2474744115385734,0.20582143400020764,0.7268925230456456
4642,0.39525824632936857,0.13010971814226874,0.20026991753436385,0.8744544386791153,0.39117722002342
10478,0.0024551574242972496,0.09192800054478127,0.008419713921227591,0.5073039044139457,0.5612328541358482
7027,0.10723992083490867,0.06268299694279178,0.07360390280956858,0.8071246011612934,0.6856088989415513
12260,0.6583789888239653,0.5645601501968568,0.6945644193159726,0.7133809457845796,0.5923258656044228
16626,0.4111759177365044,0.3269829052594897,0.535171129306478,0.7240316719446668,0.4737790550020985
1346,0.7616688120972106,0.16166655733588892,0.4700053249607836,0.7554656237173145,0.5512447762349053
15972,0.6580807847808098,0.36973653419374586,0.3364870685299146,0.6477084108027242,0.5823415472028176
14143,0.2682474395152947,0.15303364596767485,0.4975753926345561,0.4067582539196558,0.9045543316663984
7925,0.024658024666222245,0.5213135418343101,0.1992178604920019,0.07366476434010022,0.8764652632719295
15976,0.9892000728525046,0.993887120255598,0.6620360552008322,0.2038206706632648,0.8308903018367078
3890,0.08374439379402415,0.06083681882463799,0.2781363000184484,0.4402088703518561,0.5267061445603964
