user_id,new_track_id,play_count,new_user_id
6,562,1,0
6,12984,1,0
7,40,8,1
7,271,13,1
7,91,12,1
7,410,9,1
7,299,8,1
7,508,9,1
7,455,8,1
7,1254,6,1
7,989,8,1
7,555,9,1
7,229,4,1
12,5367,1,2
12,5693,1,2
18,4680,1,3
18,1710,1,3
18,3879,1,3
18,2852,3,3
18,19,1,3
18,4291,1,3
24,8431,1,4
24,4338,1,4
24,2777,1,4
24,14770,1,4
24,14575,1,4
26,10021,1,5
26,9216,1,5
26,14595,1,5
39,9863,1,6
39,4493,1,6
39,9751,1,6
39,10930,1,6
41,5902,2,7
41,4896,1,7
41,4676,1,7
41,46,1,7
41,163,2,7
41,9164,1,7
52,15051,1,8
52,2892,1,8
52,15297,1,8
59,4253,1,9
59,11228,1,9
59,12892,1,9
71,1254,1,10
86,407,2,11
86,907,1,11
86,8197,1,11
86,6538,1,11
86,5396,1,11
86,13689,1,11
86,7834,2,11
86,351,2,11
86,9172,1,11
86,11225,2,11
86,4139,1,11
86,2523,1,11
86,8365,1,11
86,12820,1,11
86,7833,1,11
86,8443,2,11
86,3878,1,11
86,912,1,11
86,7983,1,11
86,13018,2,11
86,8019,2,11
86,7803,1,11
86,2776,1,11
86,12861,1,11
86,6964,1,11
86,8678,1,11
86,2618,1,11
86,6537,1,11
86,12331,1,11
91,15546,1,12
91,3335,2,12
91,968,1,12
91,1766,1,12
91,134,1,12
91,5741,1,12
91,1035,1,12
91,1423,2,12
91,5452,1,12
91,2333,1,12
91,3757,1,12
91,1166,1,12
91,116,1,12
91,13682,2,12
91,792,2,12
91,6777,1,12
91,14411,1,12
91,5824,1,12
91,7346,1,12
91,540,1,12
91,2886,1,12
91,8648,2,12
91,1058,3,12
91,8690,2,12
91,9937,1,12
93,2298,1,13
93,9070,1,13
93,14181,1,13
93,2832,1,13
93,6670,1,13
107,1048,1,14
107,1398,1,14
107,13175,1,14
107,3050,1,14
107,1391,1,14
107,8711,1,14
107,821,1,14
107,5890,1,14
107,7908,1,14
115,1715,1,15
115,141,1,15
117,7677,1,16
117,8029,1,16
117,9972,1,16
117,1605,1,16
117,13688,1,16
128,11951,1,17
128,11680,1,17
128,14664,1,17
128,3665,1,17
130,115,1,18
130,1385,1,18
132,8598,1,19
132,160,1,19
132,287,1,19
132,13705,1,19
132,9662,1,19
132,3519,1,19
132,236,1,19
135,12722,1,20
135,13011,1,20
135,14762,1,20
139,3335,2,21
139,8399,1,21
139,7497,1,21
139,5668,1,21
139,11643,3,21
139,4625,1,21
139,129,1,21
139,287,1,21
139,2773,1,21
139,3860,1,21
139,8805,1,21
139,3291,1,21
139,7131,1,21
139,2162,1,21
139,3414,2,21
139,1166,1,21
139,1610,1,21
139,4817,1,21
139,1710,2,21
139,11894,1,21
139,288,2,21
139,14750,1,21
139,788,1,21
139,10180,1,21
139,8042,1,21
174,3160,1,22
174,3176,2,22
174,6094,1,22
174,7643,3,22
174,3184,1,22
174,5830,2,22
174,1909,2,22
174,6202,1,22
174,13085,1,22
174,668,1,22
174,522,1,22
174,8923,1,22
174,4665,3,22
183,14016,1,23
183,5934,1,23
183,11813,1,23
183,5045,1,23
183,2680,1,23
183,223,1,23
183,1141,1,23
183,5066,1,23
183,5048,1,23
183,5924,1,23
183,62,2,23
183,5326,1,23
183,6669,1,23
183,5046,2,23
183,5966,1,23
183,222,2,23
183,3383,1,23
192,4976,1,24
192,7851,1,24
192,236,1,24
192,442,2,24
192,12811,1,24
193,14501,1,25
193,8412,1,25
193,351,1,25
193,3270,1,25
193,15165,2,25
193,4520,1,25
193,6049,1,25
193,686,1,25
193,4547,2,25
193,454,1,25
