user_id,new_track_id,play_count,new_user_id
3,4410,1,0
3,5656,1,0
3,2427,1,0
3,4,1,0
12,6747,1,1
12,8594,1,1
21,2632,1,2
21,3421,1,2
21,75,1,2
21,19,1,2
21,5534,1,2
21,6610,1,2
27,6783,1,3
27,1530,1,3
27,8453,1,3
27,4603,1,3
27,1400,4,3
27,4387,1,3
27,12365,1,3
27,15128,1,3
27,12376,2,3
27,10955,1,3
42,8704,1,4
42,5836,1,4
42,1039,1,4
42,9648,1,4
42,10590,1,4
43,5331,1,5
43,4674,1,5
45,3374,1,6
45,4607,1,6
45,8686,1,6
45,360,1,6
45,4881,1,6
51,6920,1,7
51,11284,2,7
51,4088,3,7
51,10697,1,7
51,15547,1,7
51,7423,1,7
51,10979,1,7
51,12150,3,7
51,5031,2,7
51,13525,1,7
51,15739,1,7
51,1774,1,7
51,4614,2,7
62,15445,1,8
62,8155,1,8
62,3853,1,8
62,5415,1,8
62,3293,1,8
62,15466,1,8
62,12854,1,8
80,373,1,9
80,2580,1,9
80,5682,1,9
84,10950,2,10
84,2433,1,10
84,10393,1,10
84,154,1,10
90,8401,1,11
90,2214,1,11
90,4699,1,11
90,10187,1,11
90,4444,1,11
90,10523,1,11
90,3298,4,11
90,3321,1,11
90,5835,1,11
90,8754,1,11
90,390,6,11
90,3738,2,11
90,196,3,11
90,7464,1,11
90,9577,1,11
90,201,1,11
90,423,1,11
90,280,1,11
90,1684,1,11
90,12226,1,11
90,1544,1,11
90,3026,1,11
90,2310,1,11
90,4012,2,11
90,10696,2,11
90,516,1,11
104,10008,1,12
104,13083,1,12
110,1166,2,13
110,2392,5,13
110,12724,2,13
110,7599,6,13
110,13513,1,13
110,1326,2,13
113,11054,2,14
113,652,1,14
113,2519,1,14
113,9587,1,14
113,5023,2,14
113,8808,1,14
113,7398,1,14
113,8724,1,14
113,2132,1,14
113,7748,1,14
113,11138,1,14
113,10966,2,14
113,5223,1,14
113,2206,1,14
113,9923,1,14
113,7126,2,14
113,3803,4,14
113,11287,5,14
113,6814,2,14
113,3656,8,14
113,1916,3,14
113,5949,1,14
113,1794,1,14
113,1356,2,14
113,7624,1,14
157,31,1,15
157,9895,1,15
157,7653,1,15
157,3128,1,15
157,792,1,15
157,1696,1,15
157,13398,1,15
157,11926,1,15
157,2866,1,15
157,5222,1,15
157,8932,1,15
157,8631,1,15
157,10589,1,15
167,1326,1,16
167,6237,1,16
167,6408,2,16
167,2649,4,16
167,5006,3,16
167,1126,1,16
167,12308,1,16
167,1106,2,16
167,5775,1,16
167,4306,1,16
167,901,4,16
167,3879,1,16
167,467,1,16
167,7712,1,16
167,11960,1,16
167,923,1,16
179,331,2,17
179,7564,2,17
194,6571,1,18
194,1010,1,18
194,238,1,18
198,829,1,19
198,9409,3,19
198,3708,1,19
198,3879,1,19
198,7944,1,19
198,1390,1,19
198,244,1,19
198,842,1,19
198,3106,1,19
198,6303,1,19
198,11815,1,19
198,14885,2,19
198,0,1,19
198,3149,1,19
198,12881,1,19
198,1675,1,19
198,8401,1,19
198,5162,1,19
198,1975,1,19
198,3515,1,19
198,14548,1,19
198,4261,1,19
198,2413,2,19
198,7051,1,19
198,10300,1,19
198,18,1,19
198,1228,1,19
198,7230,1,19
198,8252,1,19
198,1240,1,19
198,4572,1,19
198,10573,4,19
198,431,2,19
198,6726,1,19
198,888,1,19
198,273,1,19
198,4356,1,19
204,5544,1,20
204,1470,3,20
204,767,1,20
204,9599,1,20
204,703,1,20
204,2652,2,20
204,9032,1,20
204,11894,1,20
204,6258,1,20
204,9108,1,20
204,4282,1,20
204,747,2,20
211,3457,1,21
211,9137,2,21
213,1971,1,22
213,6779,1,22
213,2216,2,22
220,269,1,23
220,8740,1,23
238,545,1,24
238,792,13,24
238,3716,1,24
238,1747,13,24
238,287,8,24
238,5859,3,24
238,3562,3,24
238,311,1,24
247,5647,1,25
247,6033,2,25
247,527,1,25
247,6807,2,25
276,6665,1,26
276,408,2,26
276,2252,2,26
276,10926,1,26
276,345,3,26
276,7563,1,26
277,346,1,27
277,13199,1,27
279,15004,1,28
279,3743,1,28
279,1566,1,28
279,85,1,28
279,665,1,28
279,12582,1,28
294,2830,1,29
294,1951,1,29
294,10447,1,29
294,1200,1,29
294,7145,1,29
294,4867,2,29
294,3442,1,29
294,8497,1,29
294,1359,1,29
294,10443,1,29
294,7000,1,29
294,8334,1,29
309,389,1,30
309,3151,1,30
309,1002,1,30
311,11617,2,31
311,8390,4,31
311,7624,1,31
311,12622,2,31
311,8339,1,31
315,15138,1,32
315,71,1,32
315,507,1,32
315,10581,1,32
316,12979,1,33
316,4805,1,33
316,6853,1,33
316,7130,1,33
316,8161,1,33
316,399,1,33
316,8581,1,33
316,6988,1,33
318,8956,1,34
318,10851,2,34
318,1742,1,34
318,401,1,34
318,10052,1,34
324,4485,1,35
324,8750,1,35
324,5311,1,35
324,1125,1,35
324,2162,1,35
324,884,1,35
324,9109,1,35
324,9693,1,35
324,13679,1,35
324,7395,1,35
324,1751,1,35
324,9795,1,35
324,10305,1,35
324,12691,1,35
324,3019,1,35
324,1512,1,35
324,262,1,35
324,7630,1,35
324,9345,1,35
324,4775,1,35
324,3401,1,35
324,4757,2,35
324,1195,1,35
324,5016,3,35
333,2076,1,36
333,9441,1,36
333,419,1,36
333,116,1,36
346,993,1,37
346,6271,1,37
346,472,6,37
346,14474,3,37
346,5090,1,37
346,13812,1,37
346,461,1,37
346,7229,4,37
346,13580,1,37
346,1672,1,37
346,14869,2,37
346,15008,1,37
346,15017,2,37
346,817,1,37
346,7613,1,37
346,14779,1,37
346,1344,1,37
346,1862,1,37
371,512,1,38
371,7701,1,38
371,1602,2,38
371,3930,3,38
371,6831,2,38
371,10927,5,38
371,7913,1,38
381,479,1,39
381,1942,1,39
381,84,1,39
387,1582,1,40
387,6076,1,40
387,8266,1,40
387,15327,1,40
387,6930,2,40
387,13013,1,40
387,2887,1,40
387,15160,3,40
387,1391,1,40
387,9166,1,40
387,14499,1,40
387,9554,1,40
387,14427,1,40
387,10049,1,40
387,15385,1,40
387,3,1,40
387,47,1,40
387,3860,1,40
387,4032,1,40
387,6548,4,40
387,618,2,40
387,237,2,40
387,9160,1,40
387,9071,1,40
387,3186,3,40
387,3999,1,40
387,15525,1,40
387,13485,1,40
387,9403,1,40
387,6188,2,40
387,953,2,40
387,3181,1,40
387,4059,1,40
387,14683,2,40
387,2352,1,40
387,3034,1,40
387,5511,1,40
387,14474,1,40
387,9552,1,40
387,1603,1,40
387,3463,1,40
387,2935,1,40
387,3818,1,40
387,9388,2,40
387,13521,1,40
387,14610,1,40
387,4049,1,40
387,1579,2,40
387,8291,3,40
387,14677,1,40
387,14867,1,40
387,9769,1,40
387,373,1,40
387,4572,1,40
387,3966,1,40
387,6268,1,40
404,526,1,41
404,13605,1,41
406,1018,1,42
406,6995,2,42
406,871,1,42
406,1062,1,42
406,13480,1,42
406,5631,1,42
406,13246,1,42
406,11882,1,42
406,10470,1,42
406,6027,1,42
406,2432,3,42
406,8369,1,42
406,12722,1,42
406,13705,1,42
