user_id,new_track_id,play_count,new_user_id
1,4976,1,0
1,235,3,0
1,3662,1,0
1,1,1,0
7,30,8,1
7,771,9,1
7,6767,1,1
7,439,10,1
7,953,5,1
7,365,6,1
7,322,6,1
7,1058,6,1
7,622,10,1
7,138,11,1
7,228,8,1
15,16,1,2
15,228,1,2
19,4291,1,3
19,7528,1,3
19,1188,1,3
19,7318,1,3
19,20,1,3
42,8704,1,4
42,2477,1,4
42,4044,1,4
42,7302,1,4
42,3088,1,4
51,15422,1,5
51,15255,1,5
51,10979,1,5
51,10106,3,5
51,923,1,5
51,15156,1,5
51,11938,1,5
51,6920,1,5
51,8954,1,5
51,10453,1,5
51,9553,1,5
51,5031,2,5
51,15739,1,5
79,11020,1,6
79,2741,1,6
79,13291,1,6
79,8770,2,6
79,1199,1,6
79,7259,1,6
79,1313,1,6
79,10107,1,6
84,10393,1,7
84,5506,1,7
84,3654,1,7
84,13825,1,7
90,7752,1,8
90,7817,1,8
90,12226,1,8
90,6672,1,8
90,3773,1,8
90,8401,1,8
90,6712,3,8
90,668,1,8
90,4444,1,8
90,7946,2,8
90,6719,1,8
90,4932,2,8
90,4699,1,8
90,670,1,8
90,3321,1,8
90,6160,5,8
90,4588,1,8
90,1074,1,8
90,5823,2,8
90,3237,1,8
90,2804,2,8
90,12132,1,8
90,6605,1,8
90,4011,1,8
90,12618,2,8
90,5711,3,8
98,1931,1,9
98,8987,1,9
98,13292,1,9
98,950,1,9
98,15082,2,9
98,12768,1,9
98,13300,1,9
98,6020,1,9
98,14004,1,9
98,13993,1,9
98,2100,1,9
98,2315,1,9
98,4566,1,9
98,114,3,9
98,10582,2,9
98,1630,1,9
98,10252,1,9
98,192,1,9
98,6930,1,9
98,7197,1,9
98,13531,1,9
98,1295,1,9
98,11878,1,9
98,4503,1,9
98,116,1,9
98,10300,1,9
98,13493,1,9
98,3025,1,9
103,3742,1,10
103,663,1,10
103,6115,1,10
103,5463,1,10
103,3959,1,10
103,4426,1,10
103,3613,1,10
103,15008,1,10
106,245,1,11
106,10910,1,11
106,1868,1,11
106,7281,1,11
106,11277,1,11
106,6915,1,11
113,9942,1,12
113,11866,1,12
113,7222,1,12
113,11138,1,12
113,374,1,12
113,2935,1,12
113,1238,1,12
113,5012,1,12
113,11054,2,12
113,6310,1,12
113,11177,2,12
113,2889,1,12
113,3880,1,12
113,322,2,12
113,652,1,12
113,3318,2,12
113,7177,3,12
113,10966,2,12
113,1735,2,12
113,551,1,12
113,7513,2,12
113,12722,3,12
113,8205,2,12
113,8381,1,12
113,4,1,12
129,9170,1,13
129,431,1,13
136,521,1,14
136,1298,1,14
136,9069,1,14
136,2531,1,14
136,1816,1,14
151,14720,1,15
151,9573,1,15
151,3889,1,15
151,11929,1,15
151,11328,1,15
151,664,2,15
151,1738,1,15
151,15260,1,15
151,3498,1,15
151,14185,1,15
151,15312,1,15
151,5417,1,15
151,1812,2,15
151,3322,1,15
151,13519,2,15
151,14357,1,15
151,8518,2,15
152,1435,1,16
152,9365,1,16
152,15279,1,16
152,4672,1,16
152,9692,1,16
152,14725,1,16
152,9756,2,16
152,1799,1,16
152,3843,1,16
152,15239,1,16
152,15425,2,16
152,10043,1,16
152,505,1,16
152,936,1,16
152,2340,1,16
152,8589,1,16
152,6268,1,16
152,14089,1,16
152,5991,2,16
152,8795,1,16
152,472,1,16
152,15309,1,16
152,9821,1,16
152,15295,1,16
152,14772,2,16
152,5913,2,16
152,12881,2,16
152,11247,5,16
152,4706,1,16
152,14597,1,16
152,10306,2,16
152,9398,1,16
152,15626,2,16
152,501,1,16
152,49,1,16
152,14481,2,16
152,15050,1,16
152,7140,2,16
152,12752,1,16
152,14594,1,16
152,635,1,16
152,11949,1,16
152,3687,1,16
152,14356,1,16
152,150,2,16
152,14820,1,16
152,14876,4,16
152,9981,1,16
162,7602,1,17
164,8924,1,18
166,4202,1,19
166,918,1,19
166,1944,1,19
166,10269,1,19
166,2066,1,19
166,7656,1,19
166,1037,1,19
166,5404,1,19
180,3226,1,20
180,13056,2,20
180,2876,2,20
180,10954,1,20
180,2110,1,20
180,7391,1,20
182,5965,1,21
182,2518,1,21
191,3786,2,22
191,7808,1,22
191,2431,1,22
191,672,2,22
191,6647,1,22
191,11672,1,22
191,6669,1,22
191,3545,1,22
191,891,2,22
191,6443,1,22
191,12704,1,22
191,11280,2,22
191,6328,1,22
191,8028,1,22
191,2240,1,22
191,2430,1,22
220,8740,1,23
220,2003,1,23
240,193,1,24
240,204,3,24
240,291,2,24
240,7318,1,24
240,1048,1,24
240,246,1,24
242,6368,2,25
268,12323,1,26
268,4687,1,26
268,49,1,26
268,14216,1,26
268,15447,1,26
268,11439,1,26
268,15396,1,26
268,1391,1,26
268,12591,1,26
268,6763,1,26
268,4703,1,26
268,3246,2,26
268,14778,1,26
268,364,1,26
268,5463,2,26
268,1822,1,26
268,3947,1,26
268,2777,1,26
268,6542,1,26
268,2513,1,26
268,14211,1,26
268,403,1,26
268,116,1,26
274,8345,1,27
274,140,1,27
274,145,1,27
279,3578,1,28
279,4864,1,28
279,10109,1,28
279,85,1,28
279,348,1,28
279,3743,1,28
282,3777,1,29
282,1271,1,29
282,5534,1,29
285,245,1,30
285,7764,1,30
285,8898,1,30
285,8064,1,30
285,5906,2,30
295,2698,1,31
295,9778,1,31
295,9462,1,31
295,12072,1,31
308,4783,1,32
308,387,1,32
315,397,1,33
315,5988,1,33
315,8525,1,33
315,13519,2,33
332,14181,2,34
341,7389,1,35
341,13367,1,35
341,3661,1,35
341,2553,1,35
343,2577,1,36
343,6426,1,36
343,4642,1,36
343,2751,3,36
343,4714,1,36
343,7502,3,36
343,13250,1,36
343,1203,1,36
343,3857,2,36
343,3925,1,36
343,8853,1,36
343,7434,1,36
343,12738,1,36
343,1451,2,36
343,7331,1,36
343,2119,1,36
343,10742,1,36
344,435,1,37
356,8972,1,38
356,1950,1,38
356,6907,2,38
372,6160,1,39
372,10313,1,39
372,5267,1,39
374,492,1,40
374,487,1,40
376,151,1,41
376,490,1,41
376,5611,1,41
376,5372,1,41
401,8648,1,42
401,2847,1,42
401,8686,1,42
401,2726,1,42
412,5253,1,43
412,2954,1,43
416,6295,1,44
416,425,1,44
416,4081,2,44
416,1644,3,44
416,85,6,44
416,454,1,44
416,539,1,44
416,5430,1,44
416,4840,3,44
416,4,3,44
416,4846,2,44
416,2376,1,44
416,3860,1,44
416,9692,1,44
416,13828,1,44
416,259,1,44
416,10851,1,44
416,5408,2,44
416,15454,1,44
416,289,1,44
416,12483,1,44
416,3981,1,44
416,1522,1,44
416,7921,1,44
416,13544,1,44
416,1872,1,44
416,9539,2,44
416,3048,2,44
416,5649,1,44
416,2511,1,44
416,4968,1,44
416,3677,1,44
416,914,1,44
416,2431,1,44
416,2365,1,44
416,10430,2,44
416,2404,1,44
416,3012,1,44
416,4594,1,44
416,2480,1,44
416,26,3,44
416,3917,1,44
416,9311,3,44
416,5031,1,44
416,1995,1,44
416,6957,1,44
416,820,1,44
416,90,3,44
416,15068,1,44
